power on/off,0000 006d 0000 0011 0054 001d 001d 003d 001d 001d 001d 001d 001d 003d 001d 001d 001d 001d 001d 001d 001d 001d 001d 001d 001d 001d 001d 001d 001d 001d 001d 001d 001d 001d 001d 003d 001d 0f3f
oscillate on/off,0000 006d 0000 0011 0053 001d 001d 003d 001d 001d 001d 001d 001d 003d 001d 001d 001d 001d 001d 001d 001d 003d 001d 001d 001d 003d 001d 001d 001d 003d 001d 001d 001d 003d 001d 001d 001d 0f3f

airflow down,0000 006d 002a 0003 0053 001c 001b 003d 001b 001c 001b 001c 001b 003d 001b 001c 001c 001c 001c 001c 001c 003d 001c 003d 001c 003d 001c 003d 001c 003d 001c 003d 001c 003d 001c 001c 001c 0f40 0053 001c 001c 003d 001c 001c 001c 001c 001c 003d 001c 001c 001c 001c 001c 001c 001c 003d 001c 003d 001c 003d 001c 003d 001c 003d 001c 003d 001c 003d 001c 001c 001c 0f40 0053 001c 001c 003d 001c 001c 001c 001c 001c 003d 001c 001c 001c 001c 001c 001c 001c 003d 001c 003d 001c 003d
airflow up,0000 006d 0000 0011 0053 001d 001d 003d 001d 001d 001d 001d 001d 003d 001d 001d 001d 001d 001d 001d 001d 001d 001d 003d 001d 001d 001d 003d 001d 001d 001d 003d 001d 003d 001d 001d 001d 0f3f

sleep timer down,0000 006d 0028 0004 0054 001d 001b 003d 001b 001d 001b 001d 001b 003d 001b 001d 001d 001d 001d 001d 001d 003d 001d 003d 001d 001d 001d 001d 001d 003d 001d 003d 001d 003d 001d 001d 001d 0f3f 0054 001d 001d 003d 001d 001d 001d 001d 001d 003d 001d 001d 001d 001d 001d 001d 001d 003d 001d 003d 001d 001d 001d 001d 001d 003d 001d 003d 001d 003d 001d 001d 001d 0f3f 0054 001d 001d 003d 001d 001d 001d 001d 001d 003d 001d 001d 001d 001d 001d 001d 001d 003d 001d 003d
sleep timer up,0000 006d 0011 0011 0053 001d 001b 003c 001b 001d 001b 001d 001b 003c 001b 001d 001d 001d 001d 001d 001d 001d 001d 003c 001d 003c 001d 003c 001d 003c 001d 001d 001d 001d 001d 003c 001d 0f3f 0053 001d 001d 003c 001d 001d 001d 001d 001d 003c 001d 001d 001d 001d 001d 001d 001d 001d 001d 003c 001d 003c 001d 003c 001d 003c 001d 001d 001d 001d 001d 003c 001d 0f3f
